ID,Nome,Idade,Gênero,Estado,Departamento,Salário,Data_Contratação,Produto,Vendas_Mensais
95,Igor,55,F,RJ,Operações,"R$ 5.895,67",2021-08-21,Produto C,83
96,Fernanda,52,M,PE,Operações,"R$ 11.923,99",2019-07-04,Produto B,208
97,Igor,63,M,RJ,RH,"R$ 7.124,77",2017-06-08,Produto A,126
98,Fernanda,49,M,PE,Comercial,"R$ 7.233,46",2022-07-02,Produto C,252
99,Helena,65,M,SP,TI,"R$ 7.182,78",2015-10-08,Produto D,243
100,Natália,52,M,PE,Comercial,"R$ 12.194,35",2023-01-05,Produto D,60
101,Daniela,18,F,MG,TI,"R$ 6.915,88",2020-09-25,Produto D,243
102,Gabriel,22,F,PE,Marketing,"R$ 8.753,09",2022-06-04,Produto C,182
103,Otávio,28,F,GO,Financeiro,"R$ 8.922,05",2024-11-21,Produto A,178
104,Paula,30,M,PR,Comercial,"R$ 4.388,63",2020-11-06,Produto D,43
105,Otávio,26,M,SC,RH,"R$ 7.977,87",2024-04-05,Produto A,158
106,Paula,51,M,BA,Operações,"R$ 8.337,09",2015-05-27,Produto C,176
107,Gabriel,33,F,PE,Financeiro,"R$ 11.767,79",2015-05-10,Produto B,238
108,Otávio,43,F,BA,Marketing,"R$ 10.451,79",2015-06-12,Produto B,56
109,Gabriel,53,M,SC,Financeiro,"R$ 4.477,63",2017-10-26,Produto C,147
110,Quésia,64,M,SP,Operações,"R$ 4.299,21",2021-09-19,Produto A,275
111,Quésia,38,F,GO,Operações,"R$ 14.340,26",2020-05-11,Produto B,162
112,Igor,54,M,SP,Marketing,"R$ 4.013,68",2017-05-09,Produto B,224
113,Otávio,53,M,SC,Financeiro,"R$ 2.081,93",2020-08-27,Produto D,210
114,Bruno,52,F,PE,Operações,"R$ 12.959,54",2024-02-10,Produto D,212
115,Paula,59,F,MG,Financeiro,"R$ 3.625,76",2023-07-21,Produto B,200
116,Carlos,55,F,PR,RH,"R$ 14.775,70",2019-10-17,Produto B,168
117,Natália,36,F,RS,Marketing,"R$ 9.531,21",2021-08-29,Produto B,267
118,Marcos,36,M,ES,Operações,"R$ 2.561,48",2021-03-01,Produto C,268
119,Tiago,39,M,RJ,TI,"R$ 4.849,80",2020-03-20,Produto B,54
120,Quésia,58,M,RJ,Financeiro,"R$ 6.943,15",2017-02-15,Produto A,242
121,Helena,48,F,RJ,Comercial,"R$ 4.956,36",2015-01-04,Produto A,295
122,Quésia,38,M,MG,RH,"R$ 2.521,21",2022-08-13,Produto C,110
123,Quésia,59,F,PR,Marketing,"R$ 10.765,99",2020-03-15,Produto A,237
124,Marcos,65,F,SP,Financeiro,"R$ 11.897,77",2016-11-16,Produto C,166
125,Fernanda,28,F,RS,TI,"R$ 11.878,71",2021-04-24,Produto A,131
126,Laura,22,M,MG,Operações,"R$ 8.589,04",2020-08-14,Produto D,35
127,Ana,19,F,RJ,RH,"R$ 5.803,87",2022-10-30,Produto B,237
128,Fernanda,55,F,SP,Financeiro,"R$ 9.463,56",2024-12-14,Produto B,180
129,Tiago,53,F,ES,Marketing,"R$ 5.062,14",2015-12-11,Produto B,119
130,Tiago,28,F,RS,TI,"R$ 5.267,71",2020-05-27,Produto C,60
131,Sofia,47,F,RJ,Comercial,"R$ 9.937,74",2022-06-04,Produto D,122
132,Carlos,26,M,RJ,Marketing,"R$ 9.728,21",2016-02-15,Produto A,216
133,Ricardo,54,M,SP,Operações,"R$ 12.905,30",2019-01-14,Produto D,159
134,Helena,56,F,SP,Comercial,"R$ 12.061,87",2017-03-20,Produto A,296
135,Igor,27,M,PE,RH,"R$ 13.826,50",2015-08-08,Produto D,233
136,Tiago,29,M,SC,TI,"R$ 14.349,19",2023-12-25,Produto B,145
137,Fernanda,61,F,RS,RH,"R$ 3.324,89",2015-04-08,Produto D,177
138,Fernanda,28,F,PR,Comercial,"R$ 4.967,50",2015-08-12,Produto C,158
139,Natália,60,M,PR,TI,"R$ 7.904,06",2020-04-22,Produto A,94
140,Ana,19,F,PR,Operações,"R$ 2.326,45",2022-07-10,Produto D,36
141,Helena,42,F,ES,TI,"R$ 7.859,48",2020-06-07,Produto C,299
142,Fernanda,30,F,GO,Operações,"R$ 9.856,68",2024-03-01,Produto A,42
143,Sofia,19,M,RJ,Financeiro,"R$ 4.085,05",2023-09-08,Produto C,161
144,Quésia,32,M,RS,Marketing,"R$ 14.368,29",2018-03-06,Produto C,67
145,Carlos,64,F,PR,Comercial,"R$ 7.313,47",2017-12-28,Produto A,237
146,Ana,65,F,RJ,Marketing,"R$ 4.286,20",2020-09-18,Produto B,258
147,Igor,25,F,ES,Financeiro,"R$ 11.889,77",2015-03-06,Produto C,139
148,Sofia,33,M,RJ,RH,"R$ 10.083,99",2019-05-07,Produto B,221
149,Fernanda,31,F,BA,Financeiro,"R$ 9.909,22",2022-07-27,Produto B,118
150,Quésia,43,M,MG,Comercial,"R$ 9.037,50",2021-09-16,Produto A,64
151,Sofia,22,M,GO,RH,"R$ 14.487,93",2023-06-20,Produto D,110
152,Daniela,37,F,GO,Comercial,"R$ 5.135,25",2022-08-03,Produto D,265
153,Helena,44,F,ES,Marketing,"R$ 3.137,23",2024-01-29,Produto D,67
154,Marcos,18,F,PE,Marketing,"R$ 5.762,63",2020-06-16,Produto D,183
155,Natália,33,M,RJ,Marketing,"R$ 11.011,32",2022-11-13,Produto D,62
156,Marcos,60,F,GO,Comercial,"R$ 8.899,68",2022-03-13,Produto A,80
157,Daniela,64,F,PE,Comercial,"R$ 11.813,63",2016-07-12,Produto C,10
158,Igor,42,F,ES,Comercial,"R$ 11.767,46",2019-11-04,Produto B,167
159,Gabriel,25,M,BA,Comercial,"R$ 8.252,94",2021-03-22,Produto D,155
160,Carlos,36,F,MG,Marketing,"R$ 8.088,28",2016-04-05,Produto C,7
161,Fernanda,28,F,RJ,Operações,"R$ 11.859,41",2018-10-01,Produto D,155
162,Laura,32,F,BA,Comercial,"R$ 10.751,50",2017-08-18,Produto D,240
163,Marcos,50,M,SC,Operações,"R$ 7.226,83",2015-03-11,Produto B,76
164,Carlos,27,F,GO,Comercial,"R$ 9.312,46",2016-04-08,Produto B,113
165,Eduardo,27,M,RS,Marketing,"R$ 14.783,66",2017-03-05,Produto B,123
166,Tiago,46,M,SP,Operações,"R$ 11.612,38",2015-10-06,Produto D,181
167,Otávio,49,F,GO,Marketing,"R$ 11.609,57",2023-08-07,Produto D,92
168,Igor,24,F,GO,Financeiro,"R$ 14.428,79",2015-04-12,Produto B,238
169,Natália,55,F,RS,RH,"R$ 6.822,36",2020-04-03,Produto A,28
170,Ricardo,59,F,RS,TI,"R$ 11.868,54",2020-08-23,Produto C,219
171,Laura,32,M,GO,Marketing,"R$ 8.534,49",2018-10-17,Produto C,121
172,Eduardo,39,F,BA,RH,"R$ 5.068,66",2022-12-10,Produto B,87
173,Laura,55,F,RJ,Financeiro,"R$ 8.451,42",2021-10-07,Produto C,16
174,Natália,44,F,MG,Marketing,"R$ 3.419,56",2020-07-05,Produto A,293
175,Ricardo,57,M,PE,Marketing,"R$ 2.407,19",2016-02-20,Produto A,203
176,Igor,47,F,RJ,RH,"R$ 8.877,02",2024-09-26,Produto A,94
177,Tiago,61,F,MG,Marketing,"R$ 10.913,76",2020-01-20,Produto B,163
178,Carlos,37,F,SP,TI,"R$ 14.707,72",2019-01-04,Produto D,274
179,Eduardo,61,F,BA,Operações,"R$ 5.962,89",2017-11-26,Produto A,40
180,Bruno,34,F,SC,Financeiro,"R$ 3.911,80",2022-01-24,Produto B,65
181,Helena,61,M,ES,TI,"R$ 9.074,44",2023-10-06,Produto B,261
182,Laura,63,M,PR,RH,"R$ 4.930,48",2015-11-22,Produto B,297
183,Bruno,44,M,GO,Operações,"R$ 10.588,91",2022-09-27,Produto D,32
184,Kaique,50,M,PR,TI,"R$ 7.063,50",2023-03-21,Produto C,210
185,Quésia,56,F,SC,Operações,"R$ 7.839,37",2018-04-23,Produto C,98
186,Fernanda,36,F,PE,Financeiro,"R$ 14.857,64",2015-09-07,Produto A,296
187,Julia,63,M,PR,TI,"R$ 11.566,27",2016-01-27,Produto B,234
188,Carlos,21,M,MG,RH,"R$ 9.881,53",2022-11-13,Produto C,135
189,Daniela,30,M,BA,Marketing,"R$ 6.987,88",2018-06-01,Produto C,5
190,Fernanda,63,F,PE,Financeiro,"R$ 2.116,83",2022-02-19,Produto D,163
191,Paula,21,F,GO,Comercial,"R$ 11.027,30",2020-03-16,Produto C,183
192,Julia,59,F,RJ,Operações,"R$ 13.419,11",2016-05-03,Produto A,162
193,Natália,41,F,PE,Marketing,"R$ 4.797,08",2015-09-21,Produto A,131
194,Bruno,40,F,RJ,Operações,"R$ 5.287,55",2023-12-10,Produto B,105
195,Carlos,58,M,PR,Comercial,"R$ 7.591,97",2022-01-01,Produto A,8
196,Otávio,40,M,PE,TI,"R$ 2.451,11",2022-05-27,Produto C,242
197,Ana,18,M,PE,Comercial,"R$ 2.428,47",2019-12-15,Produto B,141
198,Ricardo,34,M,MG,Marketing,"R$ 9.775,45",2022-10-31,Produto C,216
199,Sofia,37,M,SC,Operações,"R$ 12.794,02",2024-02-13,Produto B,172
200,Fernanda,35,F,PR,RH,"R$ 14.365,47",2018-11-29,Produto B,219
201,Fernanda,26,F,SP,RH,"R$ 6.001,38",2022-07-12,Produto C,203
202,Marcos,39,M,ES,Operações,"R$ 13.562,24",2017-02-05,Produto B,202
203,Helena,41,F,PE,Comercial,"R$ 14.157,74",2020-07-06,Produto C,141
204,Ricardo,58,F,SP,TI,"R$ 7.455,09",2015-10-11,Produto B,52
205,Natália,53,M,PE,Comercial,"R$ 2.021,29",2015-03-14,Produto B,282
206,Bruno,25,F,SP,Financeiro,"R$ 5.951,67",2021-06-29,Produto C,243
207,Ana,59,F,PR,RH,"R$ 10.819,52",2016-05-28,Produto C,1
208,Ana,35,M,SP,Operações,"R$ 2.895,69",2021-10-17,Produto C,142
209,Tiago,57,M,RS,TI,"R$ 11.901,00",2016-03-19,Produto C,156
210,Quésia,49,F,SC,RH,"R$ 10.543,25",2022-09-05,Produto B,162
211,Otávio,32,M,MG,Marketing,"R$ 6.734,02",2017-06-03,Produto D,2
212,Sofia,65,F,ES,Comercial,"R$ 5.293,55",2017-08-09,Produto C,97
213,Daniela,59,M,SP,Operações,"R$ 9.689,57",2024-03-06,Produto B,220
214,Daniela,49,F,SC,Comercial,"R$ 9.516,92",2019-03-08,Produto A,162
215,Paula,22,M,RJ,Marketing,"R$ 14.622,75",2018-01-03,Produto A,184
216,Paula,29,M,PE,TI,"R$ 4.509,03",2021-03-17,Produto C,116
217,Eduardo,47,M,SC,Marketing,"R$ 12.150,60",2024-02-15,Produto D,156
218,Natália,29,F,GO,Operações,"R$ 7.626,46",2016-12-15,Produto D,131
219,Eduardo,39,F,ES,Marketing,"R$ 9.015,75",2022-09-18,Produto B,200
220,Otávio,53,F,GO,Comercial,"R$ 11.778,90",2024-06-13,Produto A,10
221,Otávio,44,F,PE,Marketing,"R$ 11.877,32",2017-03-17,Produto B,154
222,Marcos,56,F,BA,Financeiro,"R$ 9.488,19",2018-10-03,Produto D,122
223,Marcos,26,F,MG,Marketing,"R$ 14.685,37",2017-04-26,Produto A,6
224,Ricardo,21,M,PE,Financeiro,"R$ 13.351,23",2024-09-06,Produto A,43
225,Otávio,37,F,GO,RH,"R$ 11.996,73",2018-07-17,Produto C,274
226,Laura,43,M,PE,Marketing,"R$ 4.011,62",2023-03-03,Produto D,52
227,Daniela,60,F,PE,TI,"R$ 3.674,57",2015-11-17,Produto A,261
228,Ricardo,21,F,RS,Marketing,"R$ 9.562,90",2015-02-01,Produto B,3
229,Laura,25,F,BA,RH,"R$ 13.358,62",2024-07-03,Produto D,102
230,Helena,50,M,RS,RH,"R$ 3.419,16",2024-08-23,Produto A,24
231,Ana,49,M,SP,Marketing,"R$ 5.982,43",2015-12-25,Produto A,108
232,Kaique,26,M,PE,Operações,"R$ 9.623,20",2024-07-22,Produto B,253
233,Tiago,50,M,GO,Comercial,"R$ 14.615,38",2018-05-08,Produto B,62
234,Daniela,32,M,RJ,RH,"R$ 10.119,86",2020-03-09,Produto D,57
235,Otávio,48,M,RJ,Financeiro,"R$ 9.548,15",2023-07-05,Produto C,244
236,Kaique,23,M,MG,TI,"R$ 9.847,70",2023-05-10,Produto C,150
237,Marcos,22,F,RS,RH,"R$ 9.482,72",2017-08-27,Produto D,274
238,Ricardo,58,F,SC,TI,"R$ 14.795,93",2021-05-10,Produto A,175
239,Julia,65,M,PR,Operações,"R$ 2.583,87",2019-05-21,Produto C,225
240,Carlos,30,F,ES,Financeiro,"R$ 12.787,08",2015-03-17,Produto B,63
241,Ana,58,M,PE,Comercial,"R$ 13.680,51",2021-09-28,Produto A,15
242,Helena,63,M,PE,Operações,"R$ 13.397,97",2019-11-25,Produto C,153
243,Tiago,47,F,ES,Operações,"R$ 2.367,26",2018-03-23,Produto D,272
244,Natália,42,M,SP,Marketing,"R$ 14.624,95",2020-07-09,Produto B,104
245,Helena,43,M,RS,Comercial,"R$ 11.809,59",2024-12-11,Produto D,146
246,Carlos,28,M,BA,Financeiro,"R$ 5.895,13",2018-09-25,Produto D,256
247,Tiago,28,F,PR,Operações,"R$ 5.616,22",2018-07-13,Produto B,268
248,Helena,37,M,MG,Operações,"R$ 7.528,49",2022-01-20,Produto A,81
249,Igor,23,F,RS,Comercial,"R$ 12.277,95",2024-06-01,Produto B,85
250,Kaique,41,M,ES,Operações,"R$ 13.483,93",2020-12-06,Produto B,224
251,Sofia,48,F,ES,Financeiro,"R$ 13.482,52",2022-05-05,Produto A,124
252,Ricardo,54,M,BA,Operações,"R$ 5.936,36",2023-11-25,Produto B,103
253,Eduardo,39,F,BA,Comercial,"R$ 4.218,50",2015-10-24,Produto C,209
254,Helena,58,M,MG,TI,"R$ 3.041,07",2017-07-17,Produto A,116
255,Helena,23,M,BA,Financeiro,"R$ 12.518,46",2017-01-03,Produto A,61
256,Kaique,39,F,PR,Financeiro,"R$ 11.124,27",2024-04-13,Produto A,287
257,Helena,21,F,SP,TI,"R$ 4.368,05",2024-10-11,Produto B,197
258,Daniela,26,F,SP,Marketing,"R$ 12.916,70",2017-03-09,Produto C,85
259,Daniela,37,M,RJ,Marketing,"R$ 13.269,62",2016-08-12,Produto B,72
260,Marcos,56,F,RS,RH,"R$ 12.942,49",2021-11-16,Produto D,114
261,Sofia,41,M,PR,TI,"R$ 11.114,92",2017-10-30,Produto C,272
262,Gabriel,38,F,MG,Financeiro,"R$ 3.946,37",2016-09-13,Produto C,170
263,Ricardo,36,M,RJ,RH,"R$ 8.418,81",2023-01-26,Produto D,16
264,Bruno,63,M,RS,Marketing,"R$ 10.131,83",2018-07-25,Produto D,48
265,Carlos,35,M,ES,Marketing,"R$ 6.066,39",2022-07-30,Produto D,249
266,Paula,52,F,GO,RH,"R$ 13.449,24",2017-06-23,Produto D,262
267,Eduardo,36,F,RJ,Marketing,"R$ 11.785,30",2022-09-07,Produto C,75
268,Kaique,53,F,ES,Financeiro,"R$ 10.968,23",2022-01-04,Produto D,240
269,Quésia,32,M,BA,Comercial,"R$ 10.978,44",2020-10-23,Produto D,286
270,Otávio,35,M,SP,RH,"R$ 10.677,20",2020-02-26,Produto C,2
271,Igor,58,F,SC,Financeiro,"R$ 6.955,85",2023-05-26,Produto C,134
272,Igor,37,F,PR,Financeiro,"R$ 9.508,15",2021-09-20,Produto B,170
273,Gabriel,25,M,BA,Comercial,"R$ 8.319,44",2020-09-03,Produto A,247
274,Gabriel,48,M,PE,RH,"R$ 11.687,95",2017-03-15,Produto B,121
275,Laura,41,F,ES,TI,"R$ 7.083,63",2018-09-01,Produto C,140
276,Ricardo,42,M,SC,Financeiro,"R$ 3.710,45",2021-10-13,Produto B,291
277,Sofia,40,M,GO,Operações,"R$ 4.165,72",2018-03-13,Produto D,187
278,Tiago,27,M,BA,RH,"R$ 4.856,22",2019-04-30,Produto C,8
279,Gabriel,26,M,BA,Financeiro,"R$ 4.015,97",2019-07-29,Produto D,126
280,Carlos,56,M,ES,Operações,"R$ 3.336,18",2018-02-24,Produto B,64
281,Carlos,42,F,BA,Marketing,"R$ 11.608,59",2019-02-03,Produto B,138
282,Natália,61,M,MG,Financeiro,"R$ 14.761,54",2020-12-19,Produto A,97
283,Marcos,37,F,BA,Financeiro,"R$ 2.699,73",2017-12-24,Produto C,294
284,Marcos,32,F,RS,Comercial,"R$ 11.569,66",2023-04-09,Produto A,212
285,Natália,43,F,BA,Financeiro,"R$ 12.529,71",2018-07-04,Produto C,133
286,Julia,32,M,PE,TI,"R$ 11.970,26",2021-11-03,Produto A,63
287,Daniela,23,M,PR,Operações,"R$ 6.996,43",2022-09-07,Produto A,106
288,Helena,36,M,RS,Comercial,"R$ 9.450,83",2018-10-07,Produto C,70
289,Bruno,38,F,ES,Marketing,"R$ 3.429,39",2015-04-10,Produto C,298
290,Ricardo,44,F,SP,Financeiro,"R$ 3.126,35",2021-07-26,Produto B,158
291,Otávio,45,F,GO,Operações,"R$ 4.776,39",2015-01-07,Produto D,274
292,Otávio,38,M,SP,TI,"R$ 10.508,19",2015-10-23,Produto D,34
293,Natália,29,F,PE,TI,"R$ 12.006,05",2016-04-21,Produto B,270
294,Kaique,61,M,PE,Financeiro,"R$ 3.457,59",2020-08-09,Produto A,203
295,Carlos,42,F,RS,Financeiro,"R$ 3.244,07",2020-10-26,Produto D,164
296,Quésia,59,M,GO,TI,"R$ 2.513,97",2021-10-18,Produto D,214
297,Otávio,62,M,PE,Operações,"R$ 2.382,92",2023-01-13,Produto B,122
298,Daniela,65,M,SC,Financeiro,"R$ 14.730,08",2016-02-17,Produto D,189
299,Eduardo,27,F,MG,Comercial,"R$ 13.173,36",2021-05-13,Produto D,16
300,Quésia,33,F,PR,Operações,"R$ 14.201,22",2015-05-13,Produto A,9
301,Quésia,45,M,ES,Operações,"R$ 5.026,98",2019-08-06,Produto D,238
302,Kaique,26,F,SC,Operações,"R$ 9.157,53",2022-05-08,Produto C,151
303,Paula,33,F,PR,Marketing,"R$ 2.917,95",2015-01-03,Produto C,5
304,Carlos,49,F,GO,Marketing,"R$ 8.477,20",2018-07-17,Produto D,15
305,Sofia,58,M,ES,RH,"R$ 7.069,14",2017-09-02,Produto D,108
306,Otávio,38,F,SC,Marketing,"R$ 7.281,45",2021-02-11,Produto D,164
307,Carlos,26,M,MG,Financeiro,"R$ 14.530,92",2022-11-05,Produto C,226
308,Eduardo,41,M,ES,Marketing,"R$ 6.671,86",2021-01-31,Produto A,174
309,Carlos,31,F,PE,Financeiro,"R$ 11.460,22",2024-09-03,Produto B,277
310,Carlos,36,M,PR,Financeiro,"R$ 6.625,53",2022-03-10,Produto A,226
311,Otávio,29,M,SC,Operações,"R$ 12.702,08",2023-04-28,Produto D,279
312,Igor,41,F,SP,Comercial,"R$ 10.361,55",2019-12-05,Produto B,253
313,Gabriel,24,M,PE,Marketing,"R$ 8.770,22",2020-07-07,Produto B,282
314,Sofia,23,M,RS,RH,"R$ 11.329,39",2017-07-09,Produto B,226
315,Helena,41,M,SC,Comercial,"R$ 6.250,33",2021-10-08,Produto A,21
316,Tiago,30,F,GO,Comercial,"R$ 10.128,77",2022-08-21,Produto B,146
317,Paula,53,F,PE,Comercial,"R$ 14.808,18",2021-05-23,Produto A,226
318,Paula,22,F,PE,Comercial,"R$ 9.896,62",2020-06-05,Produto B,124
319,Ricardo,19,M,BA,Operações,"R$ 7.573,41",2015-01-09,Produto D,3
320,Fernanda,45,M,RJ,Financeiro,"R$ 7.172,50",2022-09-20,Produto A,197
